Date,Words,Total Words,Project
2013-08-24,349,33438,Muirenn
2013-08-23,11,33089,Muirenn
2013-08-22,36,33100,Muirenn
2013-08-21,3,33136,Muirenn
2013-08-20,4,33139,Muirenn
2013-08-19,41,33135,Muirenn
2013-08-18,23,33094,Muirenn
2013-08-17,36,33130,Muirenn
2013-08-16,90,33153,Muirenn
2013-08-15,86,33239,Muirenn
2013-08-14,33,33329,Muirenn
2013-08-13,55,33363,Muirenn
2013-08-12,11,33374,Muirenn
2013-08-11,127,33319,Muirenn
2013-08-10,49,33192,Muirenn
2013-08-09,65,33143,Muirenn
2013-08-08,7,33078,Muirenn
2013-08-07,290,33085,Muirenn
2013-08-06,370,32795,Muirenn
2013-07-31,76,5465,Sigefrith
2013-07-30,,,
2013-07-29,250,5389,Sigefrith
2013-07-28,116,5139,Sigefrith
2013-07-27,9,5021,Sigefrith
2013-07-26,-5,5012,Sigefrith
2013-07-25,,,
2013-07-24,,,
2013-07-23,,,
2013-07-22,,,
2013-07-21,236,9158,Sigefrith
2013-07-20,6,8922,Sigrid
2013-07-19,,,
2013-07-18,90,8916,Sigrid
2013-07-17,,,
2013-07-16,35,8896,Maggie
2013-07-15,,,
2013-07-14,,,
2013-07-13,,,
2013-07-12,36,8861,Maggie
2013-07-11,15,8897,Maggie
2013-07-10,,,
2013-07-09,,,
2013-07-08,160,5017,Sigefrith
2013-07-07,,,
2013-07-06,,,
2013-07-05,,,
2013-07-04,,,
2013-07-03,,,
2013-07-02,,,
2013-07-01,,,
2013-06-30,1125,4857,Sigefrith
2013-06-29,909,3723,Sigefrith
2013-06-28,1052,2823,Sigefrith
2013-06-27,,,
2013-06-26,,,
2013-06-25,1369,1771,Sigefrith
2013-06-24,301,402,Sigefrith
2013-06-23,134,101,Sigefrith
2013-06-22,1257,2057,Eadie
2013-06-21,,,
2013-06-20,533,1030,Eadie
2013-06-19,304,497,Eadie
2013-06-18,193,193,Eadie
2013-06-17,,,
2013-06-16,,,
2013-06-15,,,
2013-06-14,,,
2013-06-13,64,142,Sigrid
2013-06-12,,,
2013-06-11,78,78,Sigrid
2013-06-10,,,
2013-06-09,187,32425,Muirenn
2013-06-08,502,32238,Muirenn
2013-06-07,465,31736,Muirenn
2013-06-06,195,31271,Muirenn
2013-06-05,55,31076,Muirenn
2013-06-04,475,31021,Muirenn
2013-06-03,321,30546,Muirenn
2013-06-02,1435,30215,Muirenn
2013-05-31,13,28780,Muirenn
2013-05-30,94,28767,Muirenn
2013-05-29,456,28673,Muirenn
2013-05-28,282,28217,Muirenn
2013-05-27,103,27935,Muirenn
2013-05-26,1123,27846,Muirenn
2013-05-25,21,26723,Muirenn
2013-05-24,,,
2013-05-23,61,26717,Muirenn
